Name,Age,Height,Market Value,img_url,Position,Team,Total played,Started,Minutes per game,Goals conceded per game,Saves per game,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Assists,Key passes per game,Accurate per game,Acc. long balls,Acc. crosses,Clean sheets,Interceptions per game,Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Succ. dribbles,Total duels won,Aerial duels won,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-red,Red
Buyung Ismu Lessy,25,"1,74 m","Rp,1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhamad-buyung-ismu-lessy-230628-1687964979_original_31749.jpg?1698316331,LB,PS Barito Putera,30,16,60,,,0,0 min,0,0.5,0.03,0,0.5,14.2 (75%),1.8 (50%),0.8 (42%),,2.4,4.5,2,0.9,15,1.4 (67%),3.6 (39%),0.3 (35%),0.6,1,0.07,,6,0,0
Ilham Mahendra,27,"1,74 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-ilham-zusril-mahendra-230628-1687929763_original_25798.jpg?1698316180,RB,PS Barito Putera,18,8,43,,,0,0 min,0,0,0,0,0.1,11.0 (81%),0.3 (30%),0.2 (31%),,1.8,2.8,1.2,0.8,1,0.5 (64%),1.8 (28%),0.1 (14%),0.4,0.4,0,,1,0,0
Ferdiansyah,24,"1,67 m","Rp869,08M",https://img.a.transfermarkt.technology/portrait/big/680805-1708058729.png?lm=1,RW,PS Barito Putera,4,0,14,,,0,0 min,0,0.3,0,1,0.3,2.5 (83%),0.3 (33%),0.3 (100%),,0.5,0.8,0,0,0,0.0 (0%),0.5 (25%),0.3 (50%),0.5,0,0,,0,0,0
Muhamad Firly,25,"1,85 m","Rp1,74B",https://www.footballdatabase.eu/images/photos/players/a_465/465311.jpg,CB,PS Barito Putera,25,18,75,,,0,0 min,0,0.08,0,0,0.2,27.2 (87%),3.4 (63%),0.0 (33%),,3.6,7.4,1.4,2.1,19,0.2 (86%),3.5 (40%),0.8 (50%),0.3,0.4,0.04,0.08,1,0,0
Nazar Nurzaidin,29,"1,72 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-nazar-nurzaidin-230628-1687930841_original_24736.jpg?1698316406,DMF,PS Barito Putera,15,4,31,,,0,0 min,0,0.1,0,0,0.07,6.7 (83%),0.5 (50%),0.1 (33%),,1.3,2.5,0.9,0.5,2,0.2 (100%),1.1 (27%),0.1 (25%),0.4,0.5,0,,1,0,0
Frendi Saputra,32,"1,73 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-frendi-saputra-230628-1687930011_original_24622.jpg?1698316111,LB,PS Barito Putera,28,21,67,,,1,1883 min,0.04,0.4,0.04,0,0.5,13.8 (75%),1.8 (52%),0.6 (41%),,3.8,5.8,1.8,1.2,5,0.9 (59%),2.8 (34%),0.4 (38%),0.8,0.6,0.07,,5,0,0
Yuswanto Aditya,24,"1,79 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/PE1718098144_original_24761.png?1692342418,CB,PS Barito Putera,13,2,32,,,1,417 min,0.08,0.2,0.08,0,0.08,9.4 (88%),0.8 (48%),0.0 (0%),,0.8,2.5,0.6,0.2,3,0.1 (100%),1.1 (30%),0.3 (36%),0.5,0.3,0,,2,0,0
Dhika Bayangkara,33,"1,80 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-dhika-bayangkara-230629-1688031457_original_18165.jpeg?1698316003,GK,PS Barito Putera,1,1,99,2,4.0 (67%),0,0 min,0,0,0,0,0,12.0 (100%),2.0 (100%),0.0 (0%),0,3,3,0,1,0,0.0 (0%),0.0 (0%),0.0 (0%),0,0,0,8,0,0,0
Ega Rizky Pramana,31,"1,76 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/ega_original_18166.png?1690778846,GK,PS Barito Putera,28,28,97,1.2,2.5 (68%),0,0 min,0,0,0,0,0,11.7 (77%),3.6 (53%),0.0 (0%),7,1.7,4.3,0.07,0.5,9,0.0 (33%),0.8 (78%),0.5 (93%),0,0.2,0,7.7,0,0,0
Banua Norhalid,27,"1,75 m","Rp869,08M",https://www.footballdatabase.eu/images/photos/players/a_469/469621.jpg,GK,PS Barito Putera,6,5,85,1.5,3.8 (72%),0,0 min,0,0,0,0,0,10.2 (82%),1.2 (39%),0.0 (0%),1,2,3.5,0.2,0.7,0,0.0 (0%),0.2 (25%),0.0 (0%),0,0,0,8.5,0,0,0
Adilson Silva,26,"1,91 m","Rp3,91B",https://idenesia.id/wp-content/uploads/2023/06/Adilson-Silva-noticiaFPF-768x752.jpg,CF,PSM Makassar,30,26,73,,,8,272 min,0.3,1.8,0.8,1,0.4,7.9 (67%),0.3 (47%),0.3 (22%),,1.8,2.6,0.4,0.3,6,1.8 (69%),7.2 (40%),2.2 (39%),1.1,1.3,0.2,,3,0,0
Victor Mansaray,27,"1,85 m","Rp3,48B",https://img.a.transfermarkt.technology/portrait/big/349133-1524862621.JPG?lm=1,CF,PSM Makassar,15,15,95,,,3,476 min,0.2,1.9,0.7,3,0.9,16.1 (77%),0.5 (73%),0.2 (19%),,0.8,2.3,0.3,0.07,3,2.3 (89%),7.5 (40%),0.9 (29%),0.9,2.1,0.5,,4,0,0
Joao Pedro,26,"1,71 m","Rp869,08M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/pedrinho_original_61700.png?1690778480,LW,PSM Makassar,9,1,24,,,0,0 min,0,1,0.6,0,0.3,4.3 (74%),0.0 (0%),0.1 (33%),,0.1,1.1,0,0.1,0,1.0 (75%),2.2 (42%),0.3 (30%),0.4,0.7,0.2,,0,0,0
Rizky Eka Pratama,24,"1,71 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muh-rizky-eka-pratama-230626-1687777946_original_22408.jpg?1698317683,LW,PSM Makassar,27,8,42,,,1,1127 min,0.04,0.6,0.1,2,0.3,8.0 (71%),0.9 (54%),0.4 (22%),,1.9,3.3,1.8,0.4,4,1.6 (76%),3.8 (40%),0.1 (25%),0.1,0.6,0.04,,0,0,0
Ricky Pratama,21,"1,78 m","Rp1,30B",https://images.genpi.co/uploads/sulsel/arsip/normal/2023/10/21/kemenangan-psm-makassar-3-1-atas-arema-fc-di-pekan-ke-16-lig-sxu2.jpg,CF,PSM Makassar,19,6,31,,,1,589 min,0.05,0.5,0.1,3,0.4,3.5 (66%),0.3 (43%),0.2 (27%),,0.7,1.7,0.7,0.05,2,0.7 (59%),3.1 (42%),0.8 (48%),0.5,0.9,0.2,,1,0,0
Donald Bissa,32,"1,85 m","Rp869,08M",https://cdn.idntimes.com/content-images/post/20220828/17077418-1256889721091014-4497132901271339008-n-9f7448914de9e80146609f66eea47200.jpg,CF,PSM Makassar,8,3,32,,,0,0 min,0,0.4,0,0,0.1,2.9 (68%),0.1 (33%),0.3 (67%),,0.3,0.8,0.1,0.1,0,0.5 (67%),3.6 (43%),1.0 (29%),0.4,0.4,0,,0,0,0
Yakob Sayuri,26,"1,68 m","Rp4,78B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-yakob-sayuri-230628-1687908846_original_24830.jpg?1698317873,RW,PSM Makassar,24,23,89,,,4,537 min,0.2,3,1,1,1,18.3 (68%),2.0 (46%),0.8 (33%),,4.7,8.2,2,1.8,15,3.8 (80%),9.0 (45%),0.9 (47%),1.2,1.2,0.08,,5,0,0
Dzaky Asraf,21,"1,70 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muh-dzaki-asraf-huwaidi-230628-1687947426_original_37726.jpg?1698317615,RW,PSM Makassar,21,15,68,,,0,0 min,0,0.8,0,3,1.2,12.2 (72%),1.3 (57%),0.7 (41%),,2.4,4.7,2.2,1.2,10,2.0 (72%),5.2 (38%),0.3 (44%),1.2,0.8,0.05,,4,1,1
Kenzo Nambu,31,"1,73 m","Rp4,78B",https://www.footballdatabase.eu/images/photos/players/a_489/489148.jpg,CMF,PSM Makassar,30,26,77,,,14,165 min,0.5,2.3,1,1,0.5,14.5 (83%),0.9 (51%),0.1 (29%),,1.5,3.7,0.7,0.3,4,1.0 (76%),3.4 (41%),0.2 (33%),0.7,0.6,0.07,,3,0,0
Ananda Raehan Alief,20,"1,75 m","Rp2,61B",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUJHw0j0T437vkGBvzBCl_1MpBwjFSFnCjdg&s,CMF,PSM Makassar,23,11,59,,,0,0 min,0,0.8,0.2,1,0.3,13.9 (75%),1.4 (59%),0.1 (14%),,2.4,5,2.7,0.3,3,0.7 (68%),3.1 (24%),0.3 (25%),1.6,0.6,0,,5,0,0
Ze Paulo,30,"1,89 m","Rp1,74B",https://img.a.transfermarkt.technology/portrait/big/323614-1442914307.png?lm=1,CMF,PSM Makassar,8,2,42,,,0,0 min,0,0.6,0.4,0,0.1,12.6 (80%),0.8 (38%),0.0 (0%),,1.6,3.1,0.6,0.3,1,1.4 (65%),3.4 (33%),0.3 (18%),0.9,0.1,0,,0,0,0
Muhammad Arfan,26,"1,70 m","Rp4,78B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-arfan-230630-1688087065_original_22407.jpg?1698317580,DMF,PSM Makassar,30,27,82,,,0,0 min,0,0.6,0.2,1,0.8,15.0 (81%),1.6 (57%),0.2 (33%),,2.9,5.8,2,0.5,5,0.6 (82%),3.9 (37%),0.4 (46%),1.1,1.1,0.03,,5,0,0
Rashyid Assahid Bakri,33,"1,64 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-rasyid-assahid-bakri-230630-1688086315_original_22406.jpg?1698317735,CMF,PSM Makassar,9,0,11,,,1,97 min,0.1,0.3,0.2,0,0.3,2.4 (69%),0.1 (25%),0.1 (17%),,0.8,1.1,0.1,0.1,0,0.1 (100%),0.7 (43%),0.1 (50%),0,0,0,,0,0,0
Akbar Tanjung,31,"1,86 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-akbar-tanjung-230628-1687945452_original_22307.jpg?1698317337,DMF,PSM Makassar,27,26,90,,,0,0 min,0,0.3,0,1,0.5,16.2 (82%),2.3 (59%),0.0 (0%),,3.1,6.4,1.8,0.8,7,0.2 (83%),3.1 (31%),0.9 (48%),1.6,0.7,0,,3,0,0
Adil Nur Bangsawan,20,"1,70 m","Rp869,08M",https://asset-2.tstatic.net/makassar/foto/bank/images/adil-3122023.jpg,DMF,PSM Makassar,4,0,14,,,0,0 min,0,0,0,0,0,2.5 (67%),0.0 (0%),0.0 (0%),,0.5,1,0.5,0.3,0,0.0 (0%),0.5 (17%),0.0 (0%),0.5,0.3,0,,0,0,0
Yance Sayuri,26,"1,65 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-yance-sayuri-230628-1687945117_original_27961.jpg?1698317885,LB,PSM Makassar,30,29,81,,,2,1218 min,0.07,1.7,0.5,2,1,15.5 (67%),2.6 (56%),0.6 (32%),,3.8,6.8,2.5,1.7,8,2.2 (66%),5.7 (40%),0.7 (60%),0.9,0.6,0.07,,1,0,0
Yuran Fernandes,29,"1,98 m","Rp6,52B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-yuran-fernandes-rocha-lopes-230628-1687944856_original_37727.jpg?1698317895,CB,PSM Makassar,31,31,90,,,3,1016 min,0.1,0.9,0.3,0,0.2,19.6 (80%),3.1 (56%),0.0 (50%),,5.4,9.3,2,2.3,14,0.4 (87%),6.7 (48%),2.8 (60%),0.9,0.9,0.1,,7,0,0
Victor Dethan,20,"1,74 m","Rp2,17B",https://cdn0-production-images-kly.akamaized.net/PbmAyokUQrS5hYSvtB1flEVg0Jc=/800x1066/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/4367026/original/079274200_1679400787-FokddX9aQAIP58N.jpg,RM,PSM Makassar,19,5,28,,,1,534 min,0.05,0.3,0.05,1,0.3,3.9 (48%),0.7 (43%),0.3 (20%),,1.7,2.1,1.2,0.6,2,0.9 (75%),2.4 (40%),0.2 (50%),0.2,0.2,0,,1,1,1
Erwin Gutawa,32,"1,75 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-erwin-gutawa-230630-1688086958_original_25112.jpg?1698317424,CB,PSM Makassar,14,12,78,,,0,0 min,0,0.07,0,0,0.2,11.7 (73%),2.2 (47%),0.1 (33%),,4.4,7.4,2.7,1.9,8,0.3 (100%),3.9 (31%),0.9 (32%),1,0.4,0.07,,3,1,1
Safrudin Tahar,30,"1,72 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-safrudin-tahar-230628-1687946710_original_24630.jpg?1698317804,CB,PSM Makassar,29,29,90,,,1,2680 min,0.03,0.3,0.07,0,0.2,15.7 (78%),2.7 (57%),0.1 (22%),,4.2,8,2.3,2.6,11,0.3 (100%),4.0 (37%),1.0 (46%),1.1,0.4,0,,3,1,1
Daffa Salman,22,"1,80 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhammad-daffa-salman-zahran-sidik-230720-1689836801_original_55455.jpeg?1698317602,CB,PSM Makassar,16,14,85,,,0,0 min,0,0.8,0.1,1,0.3,17.9 (72%),3.6 (51%),0.3 (36%),,3.8,7.9,3.9,2,10,0.4 (70%),4.7 (36%),0.5 (57%),1.3,0.7,0,,5,0,0
Reza Arya Pratama,24,"1,88 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-m-reza-arya-pratama-230626-1687776540_original_22390.jpg?1698317662,GK,PSM Makassar,28,28,90,1,2.9 (75%),0,0 min,0,0,0,0,0,8.3 (74%),3.5 (56%),0.0 (0%),10,1.5,3.5,0.1,0.3,5,0.0 (100%),0.4 (71%),0.2 (86%),0.04,0.1,0,9.5,1,0,0
Muhammad Ardiansyah,21,"1,87 m","Rp869,08M",https://www.footballdatabase.eu/images/photos/players/a_483/483232.jpg,GK,PSM Makassar,6,5,90,1.5,1.8 (55%),0,0 min,0,0,0,0,0,8.0 (73%),3.3 (54%),0.0 (0%),0,1.5,3.2,0,0.8,0,0.0 (0%),1.2 (88%),0.7 (100%),0.2,0.7,0,5.2,0,0,0
Robson Duarte,31,"1,74 m","Rp5,21B",https://img.a.transfermarkt.technology/portrait/big/593206-1631646247.jpg?lm=1,RW,Persebaya Surabaya,13,13,90,,,1,1247 min,0.08,1.5,0.5,2,2,23.7 (75%),0.9 (44%),0.5 (21%),,1.7,3.8,0.8,0.08,0,5.0 (83%),8.0 (44%),0.2 (22%),0.6,1,0.2,,1,0,0
Oktafianus Fernando,30,"1,68 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-oktafianus-fernando-230902-1693632807_original_22343.jpg?1698139406,RW,Persebaya Surabaya,9,2,40,,,0,0 min,0,0.3,0.1,0,0.3,5.9 (69%),0.7 (46%),0.0 (0%),,1.6,1.9,1.3,0.3,1,0.3 (60%),2.1 (22%),0.2 (13%),1.2,0.7,0.1,,1,0,0
Wildan Ramdhani,25,"1,70 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muchamad-wildan-ramdhani-nugraha-230626-1687763987_original_33965.jpg?1698311935,CF,Persebaya Surabaya,20,7,39,,,2,386 min,0.1,0.9,0.4,0,0.3,7.3 (74%),0.2 (67%),0.0 (0%),,1,1,0.4,0.2,4,0.4 (89%),2.3 (29%),0.3 (21%),0.9,1,0.2,,0,0,0
Kito Chandra,29,"1,79 m","Rp173,82M",https://img.a.transfermarkt.technology/portrait/big/663137-1666159200.jpg?lm=1,CF,Persebaya Surabaya,3,0,18,,,0,0 min,0,1,0,0,0.3,2.0 (75%),0.0 (0%),0.0 (0%),,0,0,0,0,0,0.3 (100%),1.3 (40%),0.0 (0%),0.3,0.3,0,,0,0,0
Bruno Moreira,25,"1,78 m","Rp5,65B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/Bruno_mo_original_29383.png?1690778060,LW,Persebaya Surabaya,31,30,90,,,10,303 min,0.3,1.3,0.6,3,0.8,27.8 (81%),1.2 (58%),0.6 (38%),,3.3,5.4,2,0.5,9,5.7 (82%),13.2 (41%),0.9 (42%),1.8,3.1,0.2,,8,0,0
Toni Firmansyah,19,"1,67 m","Rp1,30B",https://ekspresnews.com/wp-content/uploads/2023/05/IMG-20230516-WA0003.jpg,CMF,Persebaya Surabaya,20,4,32,,,1,633 min,0.05,0.7,0.2,0,0.2,4.8 (76%),0.2 (67%),0.1 (18%),,0.9,2,1.1,0.05,4,1.3 (74%),3.6 (41%),0.1 (8%),0.9,1.5,0,,4,0,0
Kasim Botan,27,"1,70 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhamad-kasim-botan-230626-1687763569_original_25806.jpg?1698311944,RW,Persebaya Surabaya,30,18,63,,,0,0 min,0,0.3,0.2,4,0.5,14.9 (79%),0.2 (26%),0.4 (39%),,2.7,4,1.8,1.1,7,1.0 (66%),3.8 (33%),0.6 (40%),0.9,0.8,0,,5,0,0
Muhammad Hidayat,28,"1,77 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhammad-hidayat-230627-1687824896_original_22334.jpg?1698312019,DMF,Persebaya Surabaya,15,8,63,,,0,0 min,0,0.6,0.1,0,0.2,16.9 (86%),1.5 (61%),0.0 (0%),,2.1,5.1,1.5,0.6,8,0.4 (60%),3.6 (34%),0.9 (57%),1.9,1,0,,3,0,0
Muhammad Iqbal,23,"1,69 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-muhammad-iqbal-230627-1687818361_original_34585.jpg?1698312105,CMF,Persebaya Surabaya,16,12,57,,,1,909 min,0.06,0.8,0.3,0,0.5,13.1 (78%),0.7 (39%),0.0 (0%),,1.1,3.2,1.3,0.2,3,2.0 (60%),4.5 (36%),0.2 (17%),0.9,0.8,0.1,,4,0,0
Andre Oktaviansyah,21,"1,60 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-andre-oktaviansyah-230627-1687818629_original_27805.jpg?1698311679,CMF,Persebaya Surabaya,25,23,72,,,1,1789 min,0.04,0.6,0.08,1,0.5,20.5 (83%),0.9 (45%),0.2 (45%),,2.6,5,1.8,0.4,11,0.5 (87%),3.4 (29%),0.2 (23%),1.6,1.2,0,,6,1,1
Ripal Wahyudi,23,"1,68 m","Rp2,17B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/ripal_original_55368.png?1690778185,DMF,Persebaya Surabaya,27,13,52,,,1,1392 min,0.04,0.4,0.2,0,0.1,15.9 (82%),0.9 (47%),0.0 (13%),,2.9,5.3,2.1,0.9,9,0.9 (76%),4.1 (36%),0.5 (52%),1,1,0.04,,4,1,1
Yan Victor,28,"1,89 m","Rp2,17B",https://img.a.transfermarkt.technology/portrait/big/450461-1682173930.jpeg?lm=1,CB,Persebaya Surabaya,17,16,90,,,1,1627 min,0.06,0.6,0.2,0,0,23.4 (82%),2.7 (44%),0.0 (0%),,5,8.8,1.9,4.1,10,0.1 (40%),4.4 (45%),1.6 (59%),1.2,0.5,0.1,,2,0,0
Dusan Stevanovic,28,"1,86 m","Rp6,52B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-dusan-stevanovic-230627-1687823526_original_61561.jpg?1698311760,CB,Persebaya Surabaya,29,29,90,,,3,925 min,0.1,0.8,0.2,0,0.07,28.6 (85%),2.6 (46%),0.0 (0%),,3.7,8,2,2.9,17,0.2 (88%),5.0 (41%),1.8 (52%),1.3,0.4,0.1,0.03,6,0,0
Arief Catur,25,"1,69 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-arief-catur-pamungkas-230701-1688154950_original_33531.jpg?1698311667,RB,Persebaya Surabaya,26,26,90,,,0,0 min,0,0.3,0.1,1,0.3,22.7 (75%),2.0 (39%),0.5 (27%),,4.1,8.3,3.4,2.1,18,1.9 (57%),7.0 (35%),1.0 (45%),1.8,1.5,0.04,,5,2,2
Reva Adi Utama,27,"1,72 m","Rp3,48B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-reva-adi-utama-230626-1687763526_original_24732.jpg?1698312188,LB,Persebaya Surabaya,28,26,85,,,0,0 min,0,0.6,0.04,2,0.3,25.0 (79%),2.4 (59%),0.4 (18%),,3.2,7,2.4,1.6,10,1.1 (68%),4.5 (44%),0.6 (55%),0.8,0.9,0.1,,5,2,2
Mikael Tata,20,"1,74 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/58_Tata_original_22071.png?1690778154,LB,Persebaya Surabaya,21,14,62,,,0,0 min,0,0.3,0.05,0,0.1,17.0 (79%),1.0 (57%),0.2 (24%),,2.8,5.4,3.7,1.1,9,0.7 (61%),4.9 (33%),0.8 (48%),1.1,0.8,0,,8,0,0
Riswan Lauhim,25,"1,75 m","Rp1,74B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-riswan-h-lauhim-230627-1687805281_original_25825.jpg?1698312275,CB,Persebaya Surabaya,16,7,50,,,0,0 min,0,0.1,0,0,0.1,12.2 (78%),1.1 (50%),0.2 (27%),,2.9,4.8,2.1,1.2,11,0.3 (80%),2.1 (32%),0.8 (52%),0.4,0.3,0,,1,0,0
Kadek Raditya,25,"1,78 m","Rp2,61B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-kadek-raditya-maheswara-230626-1687763476_original_22352.jpg?1698311861,CB,Persebaya Surabaya,27,24,86,,,1,2323 min,0.04,0.3,0.07,0,0.04,21.7 (84%),2.5 (53%),0.0 (0%),,4.4,8.3,2,2.5,14,0.3 (64%),4.2 (38%),1.5 (53%),0.9,0.1,0.04,,4,0,0
Ernando Ari,22,"1,79 m","Rp4,35B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-ernando-ari-sutaryadi-230626-1687763094_original_23514.jpg?1698311771,GK,Persebaya Surabaya,14,14,90,1.5,2.7 (64%),0,0 min,0,0,0,0,0,11.0 (83%),2.9 (59%),0.0 (0%),3,1.8,5,0.3,0.6,2,0.0 (0%),0.9 (67%),0.5 (78%),0,0.1,0,7.7,0,0,0
Andhika Ramadhani,25,"1,84 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-andhika-ramadhani-230626-1687763144_original_27788.jpg?1698311628,GK,Persebaya Surabaya,22,20,88,1,3.5 (77%),0,0 min,0,0,0,0,0,8.6 (80%),1.9 (54%),0.0 (0%),5,1.7,3.2,0,0.5,8,0.1 (100%),0.6 (82%),0.4 (82%),0,0.05,0,7.4,1,0,0
Aditya Arya,20,"1,83 m","Rp434,54M",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-aditya-arya-nugraha-230626-1687763307_original_37774.jpg?1698311637,GK,Persebaya Surabaya,1,0,70,2,1.0 (33%),0,0 min,0,0,0,0,0,10.0 (77%),3.0 (50%),0.0 (0%),0,3,5,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0,0,0,,0,0,0
Hokky Caraka,19,"1,80 m","Rp3,04B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-hokky-caraka-bintang-brilliant-230628-1687902076_original_28437.JPG?1698318136,CF,PSS Sleman,27,22,79,,,4,533 min,0.1,2,0.6,2,0.6,11.6 (76%),0.3 (50%),0.3 (25%),,1.1,2.4,0.7,0.7,2,1.7 (58%),6.4 (30%),1.6 (28%),2.3,1,0.4,,9,0,0
Ajak Riak,23,"1,92 m","Rp3,04B",https://img.a.transfermarkt.technology/portrait/big/983840-1701011670.jpg?lm=1,CF,PSS Sleman,14,10,66,,,5,185 min,0.4,1.6,0.9,0,0.3,8.4 (70%),0.1 (33%),0.1 (20%),,1.2,1.4,0.9,0.7,6,1.3 (69%),6.5 (36%),2.0 (47%),1.6,1.2,0.4,,2,0,0
Saddam Gaffar,22,"1,87 m","Rp1,74B",https://img.inews.co.id/media/1200/files/inews_new/2021/04/27/saddam_emiruddin_gaffar.jpg,CF,PSS Sleman,6,0,24,,,1,145 min,0.2,1.2,0.3,0,0.2,1.7 (83%),0.2 (100%),0.0 (0%),,0,0.8,0.5,0,0,0.5 (75%),2.3 (45%),1.0 (55%),0.2,0.3,0.2,,1,0,0
Riki Dwi Saputro,29,"1,75 m","Rp1,30B",https://lapangbola-rails-files.s3.ap-southeast-1.amazonaws.com/documents/players/foto-riki-dwi-saputro-230628-1687904042_original_25394.JPG?1698318559,RW,PSS Sleman,13,2,47,,,1,608 min,0.08,0.8,0.2,0,0.2,8.2 (80%),0.5 (70%),0.3 (67%),,1.4,2.1,0.7,0.3,1,0.6 (53%),3.2 (28%),0.6 (22%),0.8,0.9,0.2,,1,0,0
Haris Tuharea,29,"1,72 m","Rp869,08M",https://www.footballdatabase.eu/images/photos/players/2021-2022/a_383/383820.jpg,RW,PSS Sleman,2,0,22,,,0,0 min,0,0,0,0,1,4.0 (0%),0 (0%),0.0 (0%),,1,0.5,1,0.5,1,0.0 (0%),1.0 (17%),0.0 (0%),0.5,1,0,,0,0,0
Elvis Kamsoba,28,"1,64 m","Rp5,21B",https://img.a.transfermarkt.technology/portrait/big/607269-1663310572.png?lm=1,RW,PSS Sleman,15,14,90,,,0,0 min,0,1.1,0.3,2,1.6,24.5 (75%),0.7 (38%),1.1 (37%),,2.3,5.6,1.8,0.3,4,4.7 (65%),9.4 (42%),0.1 (17%),0.9,1.1,0.07,,2,0,0
Todd Rivaldo Ferre,25,"1,58 m","Rp1,74B",https://www.footballdatabase.eu/images/photos/players/a_387/387449.jpg,AMF,PSS Sleman,18,6,30,,,0,0 min,0,0.2,0,1,0.8,7.3 (79%),0.6 (59%),0.2 (60%),,0.8,1.5,0.2,0.06,2,0.8 (83%),2.4 (51%),0.1 (33%),0.2,0.4,0.06,,0,0,0
Kim Jeffrey Kurniawan,34,"1,67 m","Rp2,17B",https://www.footballdatabase.eu/images/photos/players/a_224/224862.jpg,CMF,PSS Sleman,30,24,83,,,1,2490 min,0.03,0.6,0.1,1,0.2,24.5 (84%),1.3 (56%),0.1 (25%),,4.2,7.3,2.1,0.7,10,0.1 (57%),3.9 (34%),0.6 (38%),1,0.7,0,,1,0,0
Ricky Cawor,26,"1,65 m","Rp3,04B",https://img.a.transfermarkt.technology/portrait/big/952266-1643693538.jpg?lm=1,LW,PSS Sleman,25,16,56,,,7,199 min,0.3,1.4,0.7,1,0.6,8.0 (70%),0.5 (50%),0.1 (12%),,1.2,2.4,0.9,0.3,3,1.8 (70%),5.1 (42%),0.7 (40%),1,1.2,0.3,,4,1,1
